x coord, y coord, z coord, scalar
4.59, 0, 0, 1.255478357
4.6, 0, 0, 1.215076961
4.61, 0, 0, 1.214915392
4.62, 0, 0, 1.214753823
4.63, 0, 0, 1.214592254
4.64, 0, 0, 1.214430685
4.65, 0, 0, 1.214269116
4.66, 0, 0, 1.173867719
4.67, 0, 0, 1.17370615
4.68, 0, 0, 1.173544581
4.69, 0, 0, 1.173383012
4.7, 0, 0, 1.173221443
4.71, 0, 0, 1.132820046
4.72, 0, 0, 1.132658477
4.73, 0, 0, 1.132496908
4.74, 0, 0, 1.132335339
4.75, 0, 0, 1.091933943
4.76, 0, 0, 1.091772374
4.77, 0, 0, 1.091610805
4.78, 0, 0, 1.091449236
4.79, 0, 0, 1.091287667
4.8, 0, 0, 1.05088627
4.81, 0, 0, 1.050724701
4.82, 0, 0, 1.050563132
4.83, 0, 0, 1.050401563
4.84, 0, 0, 1.050239994
4.85, 0, 0, 1.009838597
4.86, 0, 0, 1.009677028
4.87, 0, 0, 1.009515459
4.88, 0, 0, 1.00935389
4.89, 0, 0, 1.009192321
4.9, 0, 0, 1.009030752
4.91, 0, 0, 0.9686291815
4.92, 0, 0, 0.9684676119
4.93, 0, 0, 0.9683060422
4.94, 0, 0, 0.9681444725
4.95, 0, 0, 0.9679829028
4.96, 0, 0, 0.929838908
4.97, 0, 0, 0.9296860108
4.98, 0, 0, 0.9295331299
4.99, 0, 0, 0.9293802653
5, 0, 0, 0.9292274171
